type,priority,id,date,title,abstract
Inventor Initial,0,10376383,13/8/2019,Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs,"A bi-directional fixating transvertebral (BDFT) screw/cage apparatus is provided. The BDFT apparatus includes an intervertebral cage including a plurality of internal angled screw guides, a plurality of screw members, and a novel screw locking mechanism which consists of leaf springs which mechanically interact with BDFT screws which have ratcheted screw heads. The small leaf springs allow the ratchet teeth of the screw heads to rotate only in the penetrating direction. Due to the geometric orientation of the ratchet teeth vis-a-vis the adjacent spring leaf, rotation of the screw head in the opposite direction is prevented by the insertion of the string leaf in the space between the ratchet teeth (trough) of its final rotation. The uni-rotational interaction between the screw head-ratchet teeth/troughs and adjacent leaf spring is the mechanical basis for this novel locking mechanism. The internal angled screw guides orient a first screw member superiorly and a second screw member inferiorly in some embodiments, and orient a second screw member and a third screw member superiorly, and a first screw member and fourth screw member inferiorly in other embodiments. The intervertebral cage is adapted for posterior lumbar intervertebral placement, anterior lumbar intervertebral placement, anterio-lateral thoracic intervertebral placement, or anterior cervical intervertebral placement."
Inventor Initial,0,10376386,13/8/2019,Spinal staple,"A self-drilling bone fusion screw apparatus is disclosed which includes at least first and second sliding boxes. A first screw member having a tapered end and a threaded body is disposed within the first sliding box, and a second screw member having a tapered end and a threaded body disposed within the second sliding box. An adjuster adjusts the height of the sliding boxes. The screw members are screwed into vertebral bodies in order to fuse the vertebral bodies together. A plurality of the self-drilling bone fusion screw apparatuses may be attached together and/or integrated via a plate or cage. Also disclosed is a cervical facet staple that includes a curved staple base and at least two prongs attached to the bottom surface of the curved staple base."
Inventor Initial,0,10390969,27/8/2019,Bi-directional fixating transvertebral body screws and posterior cervical and lumbar interarticulating joint calibrated stapling devices for spinal fusion,"A self-drilling bone fusion screw apparatus is disclosed which includes at least first and second sliding boxes. A first screw member having a tapered end and a threaded body is disposed within the first sliding box, and a second screw member having a tapered end and a threaded body disposed within the second sliding box. An adjuster adjusts the height of the sliding boxes. The screw members are screwed into vertebral bodies in order to fuse the vertebral bodies together. A plurality of the self-drilling bone fusion screw apparatuses may be attached together and/or integrated via a plate or cage. Also disclosed is a cervical facet staple that includes a curved staple base and at least two prongs attached to the bottom surface of the curved staple base."
Inventor Initial,0,10426633,1/10/2019,Zero-profile expandable intervertebral spacer devices for distraction and spinal fusion and a universal tool for their placement and expansion,"A unique, universal Zero-Profile Expandable Intervertebral Spacer (ZP-EIS) device for fusion and distraction throughout the entire spine is provided which can be inserted via anterior, anterolateral, lateral, far lateral or posterior surgical approaches dependent on the need and preference. Multiple ZP-EIS embodiments each with unique mechanisms of calibrated expansion are provided. Two of these embodiments incorporate bi-directional fixating transvertebral (BDFT) screws and five other embodiments do not incorporate BDFT screws. A tool for implantation into the intervertebral device and calibrated device expansion is also disclosed."
Inventor Initial,0,10478319,19/11/2019,System with tool assembly and expandable spinal implant,"A system includes a tool assembly and an expandable spinal implant. The tool assembly includes a first tool and a second adjusting tool. The first tool has first and second engagement prongs positioned at a first distal end and the first tool defines an adjusting tool passage. The second adjusting tool can extend through the adjusting tool passage of the first tool. The expandable spinal implant includes a first expandable spinal implant structure, a second expandable spinal implant structure, and an adjusting screw having a screw head and a threaded portion. The expandable spinal implant defines first and second tool engagement indentations. The adjusting screw is positioned within the expandable spinal implant such that the second adjusting tool can extend through the adjusting tool passage to engage the screw head while the first and second engagement prongs are engaged with the first and second tool engagement indentations."
Inventor Initial,0,10537442,21/1/2020,Bidirectional fixating intervertebral implant system,"A self-drilling bone fusion screw apparatus is disclosed which includes at least first and second sliding boxes. A first screw member having a tapered end and a threaded body is disposed within the first sliding box, and a second screw member having a tapered end and a threaded body disposed within the second sliding box. An adjuster adjusts the height of the sliding boxes. The screw members are screwed into vertebral bodies in order to fuse the vertebral bodies together. A plurality of the self-drilling bone fusion screw apparatuses may be attached together and/or integrated via a plate or cage. Also disclosed is a cervical facet staple that includes a curved staple base and at least two prongs attached to the bottom surface of the curved staple base."
Inventor Initial,0,10603183,31/3/2020,"Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs having a central screw locking lever, and pliers and devices for spinal fusion","A bi-directional fixating transvertebral (BDFT) screw/cage apparatus including an intervertebral cage for maintaining disc height, and a method of inserting the same is provided. The intervertebral cage includes a first internal screw guide and a second internal screw guide, a first screw member and a second screw member, and a central screw locking lever coupled to the intervertebral cage, wherein the central screw locking lever prevents the first screw member and the second screw from pulling-out of the first internal screw guide and the second internal screw guide. The central screw locking lever includes a rotatable handle and stem portion, or a screw locking horizontal bracket. A pliers device for inserting and removing the bi-directional fixating transvertebral (BDFT) screw/cage apparatus, a posterior cervical and lumbar facet joint staple, and a staple gun for a posterior cervical and lumbar facet joint staple also are provided."
Inventor Initial,0,10610371,7/4/2020,"Artificial cervical and lumbar discs, disc plate insertion gun for performing sequential single plate intervertebral implantation enabling symmetric bi-disc plate alignment for interplate mobile core placement","An artificial replacement disc includes a pair of substantially parallel plates formed to occupy a space defined by vertebral endplates, each of the plates including a plurality of spikes on a first surface and a concave trough formed on a second surface opposite of the first surface. A mobile core includes a core rim with opposing convex surfaces extending from opposite sides of the core rim, the mobile core being capable of being disposed between the pair of plates to permit the vertebral endplates to move relative to one another. The spikes on each of the plates extend substantially away from the mobile core and the convex surfaces are formed to integrally fit within the concave trough of at least one of the plates. The core rim limits lateral movement of the mobile core relative to the parallel plates. One or more insertion tools for inserting and implanting the replacement disc are also described."
Inventor Initial,0,10842542,24/11/2020,Spinal bone fusion system,"A bi-directional fixating transvertebral (BDFT) screw/cage apparatus is provided. The BDFT apparatus includes an intervertebral cage including a plurality of internal angled screw guides, a plurality of screw members, and a cage indentation adjacent to the screw guides that independently or supplemented by other screw locking mechanisms prevents the screw members from pulling out of the internal angled screw guides. The internal angled screw guides orient a first screw member superiorly and a second screw member inferiorly. The intervertebral cage is adapted for posterior lumbar intervertebral placement, anterior lumbar intervertebral placement, anterio-lateral thoracic intervertebral placement, or anterior cervical intervertebral placement."
Inventor Initial,0,10925753,23/2/2021,Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs,"A bi-directional fixating transvertebral (BDFT) screw/cage apparatus is provided. The BDFT apparatus includes an intervertebral cage including a plurality of internal angled screw guides, a plurality of screw members, and a cage indentation adjacent to the screw guides that independently or supplemented by other screw locking mechanisms prevents the screw members from pulling out of the internal angled screw guides. The internal angled screw guides orient a first screw member superiorly and a second screw member inferiorly. The intervertebral cage is adapted for posterior lumbar intervertebral placement, anterior lumbar intervertebral placement, anterio-lateral thoracic intervertebral placement, or anterior cervical intervertebral placement."
Inventor Initial,0,11083591,10/8/2021,Artificial cervical and lumbar disc system,"An artificial replacement disc includes a pair of substantially parallel plates formed to occupy a space defined by vertebral endplates, each of the plates including a plurality of spikes on a first surface and a concave trough formed on a second surface opposite of the first surface. A mobile core includes a core rim with opposing convex surfaces extending from opposite sides of the core rim, the mobile core being capable of being disposed between the pair of plates to permit the vertebral endplates to move relative to one another. The spikes on each of the plates extend substantially away from the mobile core and the convex surfaces are formed to integrally fit within the concave trough of at least one of the plates. The core rim limits lateral movement of the mobile core relative to the parallel plates. One or more insertion tools for inserting and implanting the replacement disc are also described."
Inventor Initial,0,11096797,24/8/2021,Zero-profile expandable intervertebral spacer devices for distraction and spinal fusion and a universal tool for their placement and expansion,"A unique, universal Zero-Profile Expandable Intervertebral Spacer (ZP-EIS) device for fusion and distraction throughout the entire spine is provided which can be inserted via anterior, anterolateral, lateral, far lateral or posterior surgical approaches dependent on the need and preference. Multiple ZP-EIS embodiments each with unique mechanisms of calibrated expansion are provided. Two of these embodiments incorporate bi-directional fixating transvertebral (BDFT) screws and five other embodiments do not incorporate BDFT screws. A tool for implantation into the intervertebral device and calibrated device expansion is also disclosed."
Inventor Initial,0,7942903,17/5/2011,Bi-directional fixating transvertebral body screws and posterior cervical and lumbar interarticulating joint calibrated stapling devices for spinal fusion,"A self-drilling bone fusion screw apparatus is disclosed which includes at least first and second sliding boxes. A first screw member having a tapered end and a threaded body is disposed within the first sliding box, and a second screw member having a tapered end and a threaded body disposed within the second sliding box. An adjuster adjusts the height of the sliding boxes. The screw members are screwed into vertebral bodies in order to fuse the vertebral bodies together. A plurality of the self-drilling bone fusion screw apparatuses may be attached together and/or integrated via a plate or cage. Also disclosed is a cervical facet staple that includes a curved staple base and at least two prongs attached to the bottom surface of the curved staple base."
Inventor Initial,0,7972363,5/7/2011,Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs and posterior cervical and lumbar interarticulating joint stapling guns and devices for spinal fusion,"A bi-directional fixating transvertebral (BDFT) screw/cage apparatus, a posterior lumbar facet staple and a staple gun for a posterior lumbar facet staple, a posterior cervical facet joint staple, and a staple gun for a posterior cervical facet joint staple are provided. The BDFT apparatus includes an intervertebral cage including a plurality of internal angled screw guides, a plurality of screw members, and a screw locking mechanism that prevents the screw members from pulling out of the internal angled screw guides. The internal angled screw guides orient a first screw member superiorly and a second screw member inferiorly. The intervertebral cage is adapted for posterior lumbar intervertebral placement, anterior lumbar intervertebral placement, anterio-lateral thoracic intervertebral placement, or anterior cervical intervertebral placement."
Inventor Initial,0,8353913,15/1/2013,Bi-directional fixating transvertebral body screws and posterior cervical and lumbar interarticulating joint calibrated stapling devices for spinal fusion,"A self-drilling bone fusion screw apparatus is disclosed which includes at least first and second sliding boxes. A first screw member having a tapered end and a threaded body is disposed within the first sliding box, and a second screw member having a tapered end and a threaded body disposed within the second sliding box. An adjuster adjusts the height of the sliding boxes. The screw members are screwed into vertebral bodies in order to fuse the vertebral bodies together. A plurality of the self-drilling bone fusion screw apparatuses may be attached together and/or integrated via a plate or cage. Also disclosed is a cervical facet staple that includes a curved staple base and at least two prongs attached to the bottom surface of the curved staple base."
Inventor Initial,0,9005293,14/4/2015,Bi-directional fixating transvertebral body screws and posterior cervical and lumbar interarticulating joint calibrated stapling devices for spinal fusion,"A self-drilling bone fusion screw apparatus is disclosed which includes at least first and second sliding boxes. A first screw member having a tapered end and a threaded body is disposed within the first sliding box, and a second screw member having a tapered end and a threaded body disposed within the second sliding box. An adjuster adjusts the height of the sliding boxes. The screw members are screwed into vertebral bodies in order to fuse the vertebral bodies together. A plurality of the self-drilling bone fusion screw apparatuses may be attached together and/or integrated via a plate or cage. Also disclosed is a cervical facet staple that includes a curved staple base and at least two prongs attached to the bottom surface of the curved staple base."
Inventor Initial,0,9056018,16/6/2015,"Artificial cervical and lumbar discs, disc plate insertion gun for performing sequential single plate intervertebral implantation enabling symmetric bi-disc plate alignment for interplate mobile core placement","An artificial replacement disc includes a pair of substantially parallel plates formed to occupy a space defined by vertebral endplates, each of the plates including a plurality of spikes on a first surface and a concave trough formed on a second surface opposite of the first surface. A mobile core includes a core rim with opposing convex surfaces extending from opposite sides of the core rim, the mobile core being capable of being disposed between the pair of plates to permit the vertebral endplates to move relative to one another. The spikes on each of the plates extend substantially away from the mobile core and the convex surfaces are formed to integrally fit within the concave trough of at least one of the plates. The core rim limits lateral movement of the mobile core relative to the parallel plates. One or more insertion tools for inserting and implanting the replacement disc are also described."
Inventor Initial,0,9301854,5/4/2016,Bi-directional fixating transvertebral body screws and posterior cervical and lumbar interarticulating joint calibrated stapling devices for spinal fusion,"A tool assembly includes a universal, intervertebral bone fusion spacer for insertion into a disc space between a first vertebral body and a second vertebral body and fusion of the first vertebral body to the second vertebral body via biological bone fusion and screw fusion, and a tool for manipulating and inserting the universal, intervertebral bone fusion spacer into the disc space between the first vertebral body and the second vertebral body to provide fusion of the first vertebral body to the second vertebral body via biological bone fusion and screw fusion."
Inventor Initial,0,9532821,3/1/2017,Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs with vertical hemi-bracket screw locking mechanism,"A bi-directional fixating transvertebral (BDFT) screw/cage apparatus is provided. The BDFT apparatus includes an intervertebral cage including a plurality of internal angled screw guides, a plurality of screw members, and a cage indentation adjacent to the screw guides that independently or supplemented by other screw locking mechanisms prevents the screw members from pulling out of the internal angled screw guides. The internal angled screw guides orient a first screw member superiorly and a second screw member inferiorly. The intervertebral cage is adapted for posterior lumbar intervertebral placement, anterior lumbar intervertebral placement, anterio-lateral thoracic intervertebral placement, or anterior cervical intervertebral placement."
Inventor Initial,0,9622875,18/4/2017,"Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs having a central screw locking lever, and pliers and devices for spinal fusion","A bi-directional fixating transvertebral (BDFT) screw/cage apparatus including an intervertebral cage for maintaining disc height, and a method of inserting the same is provided. The intervertebral cage includes a first internal screw guide and a second internal screw guide, a first screw member and a second screw member, and a central screw locking lever coupled to the intervertebral cage, wherein the central screw locking lever prevents the first screw member and the second screw from pulling-out of the first internal screw guide and the second internal screw guide. The central screw locking lever includes a rotatable handle and stem portion, or a screw locking horizontal bracket. A pliers device for inserting and removing the bi-directional fixating transvertebral (BDFT) screw/cage apparatus, a posterior cervical and lumbar facet joint staple, and a staple gun for a posterior cervical and lumbar facet joint staple also are provided."
Inventor Initial,0,9744052,29/8/2017,Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs,"A bi-directional fixating transvertebral (BDFT) screw/cage apparatus is provided. The BDFT apparatus includes an intervertebral cage including a plurality of internal angled screw guides, a plurality of screw members, and a cage indentation adjacent to the screw guides that independently or supplemented by other screw locking mechanisms prevents the screw members from pulling out of the internal angled screw guides. The internal angled screw guides orient a first screw member superiorly and a second screw member inferiorly. The intervertebral cage is adapted for posterior lumbar intervertebral placement, anterior lumbar intervertebral placement, anterio-lateral thoracic intervertebral placement, or anterior cervical intervertebral placement."
Inventor Initial,0,9814601,14/11/2017,Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs,"A bi-directional fixating transvertebral (BDFT) screw/cage apparatus includes an intervertebral cage having a plurality of internal angled screw guides and screw members and a screw locking mechanism. The screw locking mechanism has leaf springs mechanically interacting with ratcheted screw heads of the screws and allowing the ratchet teeth of the screw heads to rotate only in a penetrating direction and preventing rotation of the screw head in an opposite direction. The intervertebral cage is adapted for posterior lumbar intervertebral placement, anterior lumbar intervertebral placement, anterio-lateral thoracic intervertebral placement, or anterior cervical intervertebral placement."
Inventor Initial,0,9848993,26/12/2017,Zero-profile expandable intervertebral spacer devices for distraction and spinal fusion and a universal tool for their placement and expansion,"A unique, universal Zero-Profile Expandable Intervertebral Spacer (ZP-EIS) device for fusion and distraction throughout the entire spine is provided which can be inserted via anterior, anterolateral, lateral, far lateral or posterior surgical approaches dependent on the need and preference. Multiple ZP-EIS embodiments each with unique mechanisms of calibrated expansion are provided. Two of these embodiments incorporate bi-directional fixating transvertebral (BDFT) screws and five other embodiments do not incorporate BDFT screws. A tool for implantation into the intervertebral device and calibrated device expansion is also disclosed."
Inventor Initial,0,9848998,26/12/2017,Bi-directional fixating transvertebral body screws and posterior cervical and lumbar interarticulating joint calibrated stapling devices for spinal fusion,"A tool assembly includes a universal, intervertebral bone fusion spacer for insertion into a disc space between a first vertebral body and a second vertebral body and fusion of the first vertebral body to the second vertebral body via biological bone fusion and screw fusion, and a tool for manipulating and inserting the universal, intervertebral bone fusion spacer into the disc space between the first vertebral body and the second vertebral body to provide fusion of the first vertebral body to the second vertebral body via biological bone fusion and screw fusion."
Inventor Initial,0,9867712,16/1/2018,"Artificial cervical and lumbar discs, disc plate insertion gun for performing sequential single plate intervertebral implantation enabling symmetric bi-disc plate alignment for interplate mobile core placement","An artificial replacement disc includes a pair of substantially parallel plates formed to occupy a space defined by vertebral endplates, each of the plates including a plurality of spikes on a first surface and a concave trough formed on a second surface opposite of the first surface. A mobile core includes a core rim with opposing convex surfaces extending from opposite sides of the core rim, the mobile core being capable of being disposed between the pair of plates to permit the vertebral endplates to move relative to one another. The spikes on each of the plates extend substantially away from the mobile core and the convex surfaces are formed to integrally fit within the concave trough of at least one of the plates. The core rim limits lateral movement of the mobile core relative to the parallel plates. One or more insertion tools for inserting and implanting the replacement disc are also described."
Inventor Initial,0,9867719,16/1/2018,Bi-directional fixating transvertebral body screws and posterior cervical and lumbar interarticulating joint calibrated stapling devices for spinal fusion,"A self-drilling bone fusion screw apparatus is disclosed which includes at least first and second sliding boxes. A first screw member having a tapered end and a threaded body is disposed within the first sliding box, and a second screw member having a tapered end and a threaded body disposed within the second sliding box. An adjuster adjusts the height of the sliding boxes. The screw members are screwed into vertebral bodies in order to fuse the vertebral bodies together. A plurality of the self-drilling bone fusion screw apparatuses may be attached together and/or integrated via a plate or cage. Also disclosed is a cervical facet staple that includes a curved staple base and at least two prongs attached to the bottom surface of the curved staple base."
Inventor Initial,0,9889022,13/2/2018,Bi-directional fixating transvertebral body screws and posterior cervical and lumbar interarticulating joint calibrated stapling devices for spinal fusion,"A self-drilling bone fusion screw apparatus is disclosed which includes at least first and second sliding boxes. A first screw member having a tapered end and a threaded body is disposed within the first sliding box, and a second screw member having a tapered end and a threaded body disposed within the second sliding box. An adjuster adjusts the height of the sliding boxes. The screw members are screwed into vertebral bodies in order to fuse the vertebral bodies together. A plurality of the self-drilling bone fusion screw apparatuses may be attached together and/or integrated via a plate or cage. Also disclosed is a cervical facet staple that includes a curved staple base and at least two prongs attached to the bottom surface of the curved staple base."
Inventor Initial,0,9895238,20/2/2018,Bi-directional fixating transvertebral body screws and posterior cervical and lumbar interarticulating joint calibrated stapling devices for spinal fusion,"A self-drilling bone fusion screw apparatus is disclosed which includes at least first and second sliding boxes. A first screw member having a tapered end and a threaded body is disposed within the first sliding box, and a second screw member having a tapered end and a threaded body disposed within the second sliding box. An adjuster adjusts the height of the sliding boxes. The screw members are screwed into vertebral bodies in order to fuse the vertebral bodies together. A plurality of the self-drilling bone fusion screw apparatuses may be attached together and/or integrated via a plate or cage. Also disclosed is a cervical facet staple that includes a curved staple base and at least two prongs attached to the bottom surface of the curved staple base."
Inventor Initial,0,9907674,6/3/2018,Bi-directional fixating transvertebral body screws and posterior cervical and lumbar interarticulating joint calibrated stapling devices for spinal fusion,"A self-drilling bone fusion screw apparatus is disclosed which includes at least first and second sliding boxes. A first screw member having a tapered end and a threaded body is disposed within the first sliding box, and a second screw member having a tapered end and a threaded body disposed within the second sliding box. An adjuster adjusts the height of the sliding boxes. The screw members are screwed into vertebral bodies in order to fuse the vertebral bodies together. A plurality of the self-drilling bone fusion screw apparatuses may be attached together and/or integrated via a plate or cage. Also disclosed is a cervical facet staple that includes a curved staple base and at least two prongs attached to the bottom surface of the curved staple base."
Inventor Retrieved,1,9603713,28/3/2017,Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs and posterior cervical and lumbar interarticulating joint stapling guns and devices for spinal fusion,"A bi-directional fixating transvertebral (BDFT) screw/cage apparatus, a posterior lumbar facet staple and a staple gun for a posterior lumbar facet staple, a posterior cervical facet joint staple, and a staple gun for a posterior cervical facet joint staple are provided. The BDFT apparatus includes an intervertebral cage including a plurality of internal angled screw guides, a plurality of screw members, and a screw locking mechanism that prevents the screw members from pulling out of the internal angled screw guides. The internal angled screw guides orient a first screw member superiorly and a second screw member inferiorly. The intervertebral cage is adapted for posterior lumbar intervertebral placement, anterior lumbar intervertebral placement, anterio-lateral thoracic intervertebral placement, or anterior cervical intervertebral placement."
Inventor Retrieved,2,8734516,27/5/2014,"Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs having a central screw locking lever, and pliers and devices for spinal fusion","A bi-directional fixating transvertebral (BDFT) screw/cage apparatus including an intervertebral cage for maintaining disc height, and a method of inserting the same is provided. The intervertebral cage includes a first internal screw guide and a second internal screw guide, a first screw member and a second screw member, and a central screw locking lever coupled to the intervertebral cage, wherein the central screw locking lever prevents the first screw member and the second screw from pulling-out of the first internal screw guide and the second internal screw guide. The central screw locking lever includes a rotatable handle and stem portion, or a screw locking horizontal bracket. A pliers device for inserting and removing the bi-directional fixating transvertebral (BDFT) screw/cage apparatus, a posterior cervical and lumbar facet joint staple, and a staple gun for a posterior cervical and lumbar facet joint staple also are provided."
Inventor Retrieved,3,10098678,16/10/2018,Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs with vertical hemi-bracket screw locking mechanism,"A bi-directional fixating transvertebral (BDFT) screw/cage apparatus is provided. The BDFT apparatus includes an intervertebral cage including a plurality of internal angled screw guides, a plurality of screw members, and a cage indentation adjacent to the screw guides that independently or supplemented by other screw locking mechanisms prevents the screw members from pulling out of the internal angled screw guides. The internal angled screw guides orient a first screw member superiorly and a second screw member inferiorly. The intervertebral cage is adapted for posterior lumbar intervertebral placement, anterior lumbar intervertebral placement, anterio-lateral thoracic intervertebral placement, or anterior cervical intervertebral placement."
Inventor Retrieved,4,11141288,12/10/2021,Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs,"A bi-directional fixating transvertebral (BDFT) screw/cage apparatus is provided. The BDFT apparatus includes an intervertebral cage including a plurality of internal angled screw guides, a plurality of screw members, and a novel screw locking mechanism which consists of leaf springs which mechanically interact with BDFT screws which have ratcheted screw heads. The small leaf springs allow the ratchet teeth of the screw heads to rotate only in the penetrating direction. Due to the geometric orientation of the ratchet teeth vis-a-vis the adjacent spring leaf, rotation of the screw head in the opposite direction is prevented by the insertion of the string leaf in the space between the ratchet teeth (trough) of its final rotation. The uni-rotational interaction between the screw head-ratchet teeth/troughs and adjacent leaf spring is the mechanical basis for this novel locking mechanism. The internal angled screw guides orient a first screw member superiorly and a second screw member inferiorly in some embodiments, and orient a second screw member and a third screw member superiorly, and a first screw member and fourth screw member inferiorly in other embodiments. The intervertebral cage is adapted for posterior lumbar intervertebral placement, anterior lumbar intervertebral placement, anterio-lateral thoracic intervertebral placement, or anterior cervical intervertebral placement."
Inventor Retrieved,5,10251643,9/4/2019,"Bi-directional fixating transvertebral body screws, zero-profile horizontal intervertebral miniplates, expansile intervertebral body fusion devices, and posterior motion-calibrating interarticulating joint stapling device for spinal fusion","An apparatus and method for joining members together using a self-drilling screw apparatus or stapling apparatus are disclosed. The screw apparatus includes a shell and first and second first screw members having tapered ends and threaded bodies that are disposed within the shell. A drive mechanism rotatably drives the first and second screw members from the shell in opposite directions and causes the screw members to embed themselves in the members to be joined. The screw apparatus can be used to join members such as bones, portions of the spinal column, vertebral bodies, wood, building materials, metals, masonry, or plastics. The stapling apparatus includes first and second lever arms rotatably joined together at a fulcrum, and the lever arms rotate in opposite directions. First and second cartridges are disposed at the ends of the lever arms. Each cartridge is capable of holding a staple including a bracket, a nail member and an alignment slot. When the ends of the lever arms are rotated towards each other the staples from the cartridges are interlocked. The staples can be also be used to join members such as bones, portions of the spinal column, or vertebral bodies."
Inventor Retrieved,6,9924940,27/3/2018,"Bi-directional fixating transvertebral body screws, zero-profile horizontal intervertebral miniplates, expansile intervertebral body fusion devices, and posterior motion-calibrating interarticulating joint stapling device for spinal fusion","An apparatus and method for joining members together using a self-drilling screw apparatus or stapling apparatus are disclosed. The screw apparatus includes a shell and first and second first screw members having tapered ends and threaded bodies that are disposed within the shell. A drive mechanism rotatably drives the first and second screw members from the shell in opposite directions and causes the screw members to embed themselves in the members to be joined. The screw apparatus can be used to join members such as bones, portions of the spinal column, vertebral bodies, wood, building materials, metals, masonry, or plastics. The stapling apparatus includes first and second lever arms rotatably joined together at a fulcrum, and the lever arms rotate in opposite directions. First and second cartridges are disposed at the ends of the lever arms. Each cartridge is capable of holding a staple including a bracket, a nail member and an alignment slot. When the ends of the lever arms are rotated towards each other the staples from the cartridges are interlocked. The staples can be also be used to join members such as bones, portions of the spinal column, or vertebral bodies."
Inventor Retrieved,7,10238383,26/3/2019,"Bi-directional fixating transvertebral body screws, zero-profile horizontal intervertebral miniplates, expansile intervertebral body fusion devices, and posterior motion-calibrating interarticulating joint stapling device for spinal fusion","An apparatus and method for joining members together using a self-drilling screw apparatus or stapling apparatus are disclosed. The screw apparatus includes a shell and first and second first screw members having tapered ends and threaded bodies that are disposed within the shell. A drive mechanism rotatably drives the first and second screw members from the shell in opposite directions and causes the screw members to embed themselves in the members to be joined. The screw apparatus can be used to join members such as bones, portions of the spinal column, vertebral bodies, wood, building materials, metals, masonry, or plastics. The stapling apparatus includes first and second lever arms rotatably joined together at a fulcrum, and the lever arms rotate in opposite directions. First and second cartridges are disposed at the ends of the lever arms. Each cartridge is capable of holding a staple including a bracket, a nail member and an alignment slot. When the ends of the lever arms are rotated towards each other the staples from the cartridges are interlocked. The staples can be also be used to join members such as bones, portions of the spinal column, or vertebral bodies."
Inventor Retrieved,8,8535379,17/9/2013,"Artificial cervical and lumbar discs, disc plate insertion gun for performing sequential single plate intervertebral implantation enabling symmetric bi-disc plate alignment for interplate mobile core placement","An artificial replacement disc includes a pair of substantially parallel plates formed to occupy a space defined by vertebral endplates, each of the plates including a plurality of spikes on a first surface and a concave trough formed on a second surface opposite of the first surface. A mobile core includes a core rim with opposing convex surfaces extending from opposite sides of the core rim, the mobile core being capable of being disposed between the pair of plates to permit the vertebral endplates to move relative to one another. The spikes on each of the plates extend substantially away from the mobile core and the convex surfaces are formed to integrally fit within the concave trough of at least one of the plates. The core rim limits lateral movement of the mobile core relative to the parallel plates. One or more insertion tools for inserting and implanting the replacement disc are also described."
Inventor Retrieved,9,7951180,31/5/2011,"Bi-directional fixating transvertebral body screws, zero-profile horizontal intervertebral miniplates, expansile intervertebral body fusion devices, and posterior motion-calibrating interarticulating joint stapling device for spinal fusion","An apparatus and method for joining members together using a self-drilling screw apparatus or stapling apparatus are disclosed. The screw apparatus includes a shell and first and second first screw members having tapered ends and threaded bodies that are disposed within the shell. A drive mechanism rotatably drives the first and second screw members from the shell in opposite directions and causes the screw members to embed themselves in the members to be joined. The screw apparatus can be used to join members such as bones, portions of the spinal column, vertebral bodies, wood, building materials, metals, masonry, or plastics. The stapling apparatus includes first and second lever arms rotatably joined together at a fulcrum, and the lever arms rotate in opposite directions. First and second cartridges are disposed at the ends of the lever arms. Each cartridge is capable of holding a staple including a bracket, a nail member and an alignment slot. When the ends of the lever arms are rotated towards each other the staples from the cartridges are interlocked. The staples can be also be used to join members such as bones, portions of the spinal column, or vertebral bodies."
Inventor Retrieved,10,7704279,27/4/2010,"Bi-directional fixating transvertebral body screws, zero-profile horizontal intervertebral miniplates, expansile intervertebral body fusion devices, and posterior motion-calibrating interarticulating joint stapling device for spinal fusion","An apparatus and method for joining members together using a self-drilling screw apparatus or stapling apparatus are disclosed. The screw apparatus includes a shell and first and second first screw members having tapered ends and threaded bodies that are disposed within the shell. A drive mechanism rotatably drives the first and second screw members from the shell in opposite directions and causes the screw members to embed themselves in the members to be joined. The screw apparatus can be used to join members such as bones, portions of the spinal column, vertebral bodies, wood, building materials, metals, masonry, or plastics. The stapling apparatus includes first and second lever arms rotatably joined together at a fulcrum, and the lever arms rotate in opposite directions. First and second cartridges are disposed at the ends of the lever arms. Each cartridge is capable of holding a staple including a bracket, a nail member and an alignment slot. When the ends of the lever arms are rotated towards each other the staples from the cartridges are interlocked. The staples can be also be used to join members such as bones, portions of the spinal column, or vertebral bodies."
